candidate_id	seed	gc_deviation	homopolymer_max	repeated_12mers	cross_payload_12mer_collisions	reverse_complement_collisions	rejection_reason
payload_11_24_57a9bbc8bbc4	11	0.046875	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_25_37b2f82dcab6	11	0.00347222222222221	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_26_8c7bf72e1b44	11	0.02604166666666663	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_27_bb22da004529	11	0.01388888888888884	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_28_7cf175014525	11	0.05902777777777779	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_11_29_65c090dd403b	11	0.020833333333333315	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_0_0fd783201af3	23	0.015625	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_1_a2a1f3c36557	23	0.01215277777777779	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_2_22eb9235f17f	23	0.00347222222222221	9	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_3_737b26c999e8	23	0.026041666666666685	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_4_0f4af9d59ef9	23	0.00347222222222221	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_5_091c1d8e86bd	23	0.05034722222222221	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_6_c9f1dea32a09	23	0.05902777777777779	8	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_7_214f8f1d0294	23	0.01736111111111116	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_8_25b6cc758f2a	23	0.00347222222222221	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_9_308c7cd1b400	23	0.00520833333333337	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_11_aaf10c8b107c	23	0.02083333333333337	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_12_9a3fdb7b2565	23	0.05034722222222221	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_13_aa9e6ad2f032	23	0.04861111111111116	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_14_670e565cb7b5	23	0.03125	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_15_46c15a61b5ec	23	0.01909722222222221	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_16_ccf404674a1b	23	0.03819444444444442	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_18_35f2ca46688c	23	0.013888888888888895	8	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_19_43b90fac1a29	23	0.00694444444444442	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_20_8dbfc8c1e12b	23	0.015625	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_21_66f1088838b4	23	0.01909722222222221	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_22_994808c530ac	23	0.00694444444444442	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_23_c9611a805b90	23	0.00520833333333337	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_24_420f8df05d21	23	0.00347222222222221	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_25_ae535c8fdead	23	0.00694444444444442	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_26_463310c7f2a4	23	0.03993055555555558	7	2	2	0	Pareto-dominated; no hard-constraint failure implied
payload_23_27_3791e36d2052	23	0.01388888888888884	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_28_4cffd2c0e2f8	23	0.026041666666666685	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_23_29_87b4a90b0af8	23	0.00347222222222221	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_0_6bb78d1f1602	47	0.03819444444444442	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_1_8cf50091de6a	47	0.05381944444444442	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_2_46473f88bc37	47	0.01215277777777779	8	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_3_f348a8027031	47	0.015625	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_4_7376bbcae2f3	47	0.001736111111111105	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_5_f91b201e69c8	47	0.04513888888888884	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_6_10e13011606e	47	0.01909722222222221	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_7_192c1d0178be	47	0.048611111111111105	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_8_ddf4115bfec0	47	0.01041666666666663	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_9_187f3f24ed4a	47	0.010416666666666685	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_10_49de02074071	47	0.01388888888888884	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_11_f1b78b069524	47	0.01736111111111116	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_12_44cecbbeaa72	47	0.0017361111111111605	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_13_cfd8123cc0d0	47	0.032986111111111105	7	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_14_c4608367a65f	47	0.02256944444444442	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_15_83663ec68479	47	0.01909722222222221	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_16_06c66d75d271	47	0.00694444444444442	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_17_438042875668	47	0.041666666666666685	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_18_18ae3cda2998	47	0.01388888888888884	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_19_48ba2d123f3d	47	0.01736111111111116	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_20_a5edc5b1b44f	47	0.02777777777777779	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_21_4de6bb3f5a7e	47	0.029513888888888895	6	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_22_a14917a87888	47	0.02430555555555558	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_23_9c8e09559f8d	47	0.00868055555555558	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_24_7b370d2e7d45	47	0.015625	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_25_b6108e23a34d	47	0.01909722222222221	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_26_f5b3efd713ff	47	0.02777777777777779	4	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_27_f74a2e41df69	47	0.015625	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_28_9c76fa894b9d	47	0.02604166666666663	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
payload_47_29_6da39ecda7a9	47	0.03125	5	0	0	0	Pareto-dominated; no hard-constraint failure implied
